City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
234,Kyabram,AU,65.88,scattered clouds,-36.3167,145.05,Kyabram Motor Inn
235,Mbanza-Ngungu,CD,69.89,light rain,-5.25,14.8667,Hotel Full Business
238,Altamira,BR,87.89,broken clouds,-3.2033,-52.2064,Requinte Hotel
239,Kita,ML,94.46,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
240,Meadow Lake,US,37.4,clear sky,34.8014,-106.5436,TumbleWeed RV Park
241,Lehigh Acres,US,82.44,overcast clouds,26.6254,-81.6248,Lehigh Resort Club
242,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
243,Port Hardy,CA,39.76,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
244,Manali,IN,81.07,scattered clouds,13.1667,80.2667,Sarathy Lodge
245,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
246,Ures,MX,62.15,clear sky,29.4333,-110.4,Hacienda Quinta Napoles
249,Valleyview,CA,36.3,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
251,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
252,Puerto Baquerizo Moreno,EC,81.59,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
256,Huilong,CN,39.04,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
258,Pujili,EC,63.28,few clouds,-0.95,-78.6833,El Aliso - Pujilí
259,Marginea,RO,36.07,overcast clouds,47.8167,25.8167,inexiste
260,Kavaratti,IN,78.84,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
261,Tabou,CI,81.95,overcast clouds,4.423,-7.3528,hotêl doufoulougou
262,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
263,Billings,US,46.17,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
264,Yarada,IN,71.92,haze,17.65,83.2667,Yarada Jungle Beach Resorts
