City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Hobyo,SO,5.3505,48.5268,76.6,70,12,11.27,few clouds
268,Oume,JP,35.7839,139.2431,35.78,53,1,2.13,clear sky
269,Nikolskoye,RU,59.7035,30.7861,24.87,93,100,10.94,snow
270,The Pas,CA,53.8251,-101.2541,-7.58,71,0,6.91,clear sky
271,Panama City,PA,8.9936,-79.5197,92.17,47,40,17.27,scattered clouds
272,Sulangan,PH,11.1373,123.7228,79.48,75,53,20.07,broken clouds
273,Ganj Muradabad,IN,26.9667,80.1833,52.52,79,0,5.12,clear sky
274,Kamsack,CA,51.5667,-101.9009,0.05,93,100,2.98,overcast clouds
275,Atar,MR,20.5169,-13.0499,88.02,6,0,3.42,clear sky
276,La Asuncion,VE,11.0333,-63.8628,83.93,65,10,16.11,clear sky
277,Bonito,BR,-21.1211,-56.4819,93.54,40,81,11.21,broken clouds
278,Fare,PF,-16.7,-151.0167,80.8,74,8,18.97,clear sky
279,Richards Bay,ZA,-28.783,32.0377,72.99,82,99,10.2,light rain
280,Dolores,AR,-36.3132,-57.6792,68.83,57,73,13.42,light rain
281,Tual,ID,-5.6667,132.75,83.23,75,100,8.99,overcast clouds
282,Yeppoon,AU,-23.1333,150.7333,73.18,68,29,19.3,scattered clouds
283,Ca Mau,VN,9.1769,105.15,78.55,66,97,10.47,overcast clouds
284,Mana,GF,5.6592,-53.7767,80.87,76,65,10.51,broken clouds
285,Elesbao Veloso,BR,-6.2019,-42.1403,90.21,48,65,4.79,broken clouds
286,Singarayakonda,IN,15.25,80.0333,75.74,81,60,6.29,broken clouds
287,Vostok,RU,46.4856,135.8833,-10.43,99,100,2.75,overcast clouds
288,Novomykolayivka,UA,47.9781,35.9102,25.05,91,99,6.87,overcast clouds
289,Qasigiannguit,GL,68.8193,-51.1922,7.05,78,100,7.29,overcast clouds
290,Kruisfontein,ZA,-34.0033,24.7314,67.89,75,89,20.45,overcast clouds
291,Visegrad,BA,43.7847,19.2992,39.2,100,100,3.02,overcast clouds
292,Muborak,UZ,39.2553,65.1528,57.16,43,99,26.33,overcast clouds
293,Ilulissat,GL,69.2167,-51.1,6.82,51,75,16.11,broken clouds
294,Guhagar,IN,17.4842,73.1929,67.66,83,13,4.72,few clouds
295,Araouane,ML,18.9048,-3.5265,72.93,9,0,7.18,clear sky
296,Ahuimanu,US,21.4447,-157.8378,68.77,90,20,1.99,few clouds
297,Severnyy,RU,50.677,36.5532,17.64,86,0,4.47,clear sky
298,Magrath,CA,49.4167,-112.8686,42.94,57,82,17.78,broken clouds
299,Ubon Ratchathani,TH,15.1667,105.1667,67.89,71,26,7.0,scattered clouds
300,Saint George,US,37.1041,-113.5841,49.35,39,0,1.01,clear sky
301,Kalabo,ZM,-14.97,22.6814,68.92,90,91,5.35,light rain
302,Cockburn Town,TC,21.4612,-71.1419,78.76,57,40,18.41,scattered clouds
303,Tevaitoa,PF,-16.7833,-151.5,80.6,71,13,18.01,few clouds
304,Carlos Chagas,BR,-17.7031,-40.7664,80.65,74,86,9.4,overcast clouds
305,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,78,20,2.3,few clouds
306,Kemise,ET,10.7167,39.8667,69.04,39,9,2.08,clear sky
307,Saint Anthony,US,45.0205,-93.218,13.33,62,75,8.01,broken clouds
308,Olafsvik,IS,64.8945,-23.7142,29.53,63,100,16.69,light snow
309,Saldanha,ZA,-33.0117,17.9442,87.85,71,8,8.03,clear sky
310,Sitka,US,57.0531,-135.33,42.69,81,100,12.66,moderate rain
311,Oyama,JP,36.3,139.8,37.58,35,0,5.79,clear sky
312,Yarmouth,US,41.7057,-70.2286,28.02,80,100,8.99,overcast clouds
313,Grove City,US,39.8815,-83.093,23.72,76,0,1.01,clear sky
314,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,24.16,few clouds
315,Raymond,US,43.9015,-70.4703,23.27,72,91,11.54,overcast clouds
316,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,60,0,8.05,clear sky
317,Bowling Green,US,36.9903,-86.4436,29.1,58,0,0.0,clear sky
318,Geraldton,AU,-28.7667,114.6,72.01,88,75,8.05,broken clouds
319,Ancud,CL,-41.8697,-73.8203,72.23,58,4,7.78,clear sky
320,Meulaboh,ID,4.1363,96.1285,75.97,88,100,7.7,overcast clouds
321,Medford,US,42.3265,-122.8756,34.72,86,0,0.0,clear sky
322,Tsentoroy,RU,43.0064,46.2231,22.33,83,76,6.29,broken clouds
323,Barrow,US,71.2906,-156.7887,-11.18,64,100,12.66,light snow
324,Lahaina,US,20.8783,-156.6825,75.81,78,1,3.78,clear sky
325,Tanout,NE,14.9709,8.8879,67.8,10,3,12.41,clear sky
326,Ipixuna,BR,-1.7625,-48.8043,84.15,88,100,2.93,overcast clouds
327,Jalu,LY,29.0331,21.5482,58.28,45,0,3.0,clear sky
328,Miram Shah,PK,33.0086,70.0697,47.37,62,86,0.98,overcast clouds
329,Kedrovyy,RU,56.1667,91.8167,25.21,82,100,9.13,overcast clouds
330,Vila Velha,BR,-20.3297,-40.2925,84.15,74,40,13.0,scattered clouds
331,Jacareacanga,BR,-6.2222,-57.7528,83.37,81,83,0.74,broken clouds
332,San Luis,AR,-33.295,-66.3356,67.24,51,91,15.95,overcast clouds
333,Pakala,IN,13.4667,79.1167,69.57,93,53,2.93,broken clouds
334,Aklavik,CA,68.2191,-135.0107,-31.97,66,40,3.44,scattered clouds
335,Kaputa,ZM,-8.4689,29.6619,69.33,84,77,2.08,broken clouds
336,Lithakia,GR,37.7167,20.8333,54.77,83,63,7.99,broken clouds
337,Flinders,AU,-34.5833,150.8552,68.38,79,99,7.0,light rain
338,Chuy,UY,-33.6971,-53.4616,83.12,50,83,8.52,broken clouds
339,Barillas,GT,15.8036,-91.3158,71.94,94,94,1.88,overcast clouds
340,Matadi,CD,-5.8167,13.45,81.28,75,71,5.41,light rain
341,Vinh,VN,18.6667,105.6667,60.57,83,100,4.99,overcast clouds
342,Ongandjera,NA,-17.8833,15.0667,77.14,28,89,9.13,overcast clouds
343,Tiarei,PF,-17.5333,-149.3333,78.82,74,8,18.61,clear sky
344,Namibe,AO,-15.1961,12.1522,74.73,68,28,12.33,scattered clouds
345,Souillac,MU,-20.5167,57.5167,80.37,89,75,14.97,light intensity shower rain
